insult|answer
Every enemy I've met I've annihilated!|I had my cat laminated.
You're as repulsive as a monkey in a negligee.|Instead of skip, I'd rather sashay.
You're as repulsive as a monkey in a negligee.|This floor is lovely. Is it parquet?
You're as repulsive as a monkey in a negligee.|In case of an earthquake, stand in a doorway.
You're as repulsive as a monkey in a negligee.|I set my blender to frappe.
Killing you would be justifiable homicide!|Hydraulic suspension guarantees a nice smooth ride.
Killing you would be justifiable homicide!|I like my steak chicken-fried.
Killing you would be justifiable homicide!|I found a three-dollar bill, but I don't think it was bona fide,
Killing you would be justifiable homicide!|I sent a letter to the King of Portugal, who never replied.
You're the ugliest monster ever created!|We had a Little League team, but I never participated.
You're the ugliest monster ever created!|You'll digest food better if it's been masticated.
You're the ugliest monster ever created!|I was thrown off a subway because I had expectorated.
You're the ugliest monster ever created!|I'd like the Latin verb 'to go' conjugated.
I'll skewer you like a sow at a buffet!|I think that my sister's in a family way.
I'll skewer you like a sow at a buffet!|The Caribbean is in such a state of disarray.
Would you like to be buried, or cremated?|Better keep that refrigerated.
Would you like to be buried, or cremated?|These swordfights need to be officiated.
Would you like to be buried, or cremated?|This isn't going as well as I'd anticipated.
Would you like to be buried, or cremated?|Could I get my parking ticket validated?
Would you like to be buried, or cremated?|The importance of breakfast cannot be overstated.
Coming face to face with me must leave you petrified!|I'm waiting for these feelings of nausea to subside.
Coming face to face with me must leave you petrified!|Well, I'm fit to be tied.
Coming face to face with me must leave you petrified!|You should let your conscience be your guide.
When your father first saw you, he must have been mortified!|I carry traveler's cheques that are accepted worldwide.
When your father first saw you, he must have been mortified!|Dinoflagellates are the cause of red tide.
You can't match my witty repartee!|Support your local PTA.
I have never seen such clumsy swordplay!|Plan for your future with an IRA.
I have never seen such clumsy swordplay!|I'll meet you in the foyer.
I have never seen such clumsy swordplay!|Of all crafts, my favorite is papier-mâché.
En garde! Touché!|I'd like to see this swordfight on instant replay.
En garde! Touché!|Remember, pedestrians always have the right of way.
Throughout the Caribbean, my great deeds are celebrated!|I'd have a good comeback, but it's hard to get motivated.
I can't rest 'til you've been exterminated!|I haven't fed my dog for so long, he's emaciated.
I can't rest 'til you've been exterminated!|My fishing hook is always live-baited.
I can't rest 'til you've been exterminated!|I fear our government's funds are being misappropriated.
I can't rest 'til you've been exterminated!|I like music that's syncopated.
I'll leave you devastated, mutilated, and perforated!|My entire wardrobe is color-coordinated.
I'll leave you devastated, mutilated, and perforated!|Let's get these sausages hot-plated.
I'll leave you devastated, mutilated, and perforated!|My craving for peanuts will never be satiated.
I'll leave you devastated, mutilated, and perforated!|Chinese food's best when not monosodium-glutamated.
Heaven preserve me! You look like something that's died!|Can you go cross-eyed?
Heaven preserve me! You look like something that's died!|If you're planning on retiring, have money set aside.
Heaven preserve me! You look like something that's died!|My ship has barnacles on its underside.
I'll hound you night and day!|What this island needs is a good, reasonable buffet.
I'll hound you night and day!|Happy birthday.
	
*|You're ugly.
*|You're stupid.
